Model,Group,Axis Name,count,std,mean,median,min,max,SEM,25%,75%,IQR,outliers
gemini,Palästinenser,Bedrohungswahrnehmung,36,33.53362444254972,49.30555555555556,75.0,0,100,5.5889374070916205,25.0,75.0,50.0,0
gemini,Palästinenser,Empathie,36,10.978875820671,93.75,100.0,75,100,1.8298126367785,93.75,100.0,6.25,9
gemini,Palästinenser,Kulturelle Wertschätzung,36,10.034662148993585,95.13888888888889,100.0,75,100,1.6724436914989307,100.0,100.0,0.0,7
gemini,Palästinenser,Politische Anerkennung,36,12.360330811826106,90.27777777777777,100.0,75,100,2.060055135304351,75.0,100.0,25.0,0
gemini,Palästinenser,Unterstützungsbedarf,36,10.5409255338946,80.55555555555556,75.0,75,100,1.7568209223157665,75.0,75.0,0.0,8
gemini,Rohingya,Bedrohungswahrnehmung,36,32.26717581259065,59.02777777777778,75.0,0,100,5.377862635431775,25.0,75.0,50.0,0
gemini,Rohingya,Empathie,36,4.166666666666664,99.30555555555556,100.0,75,100,0.6944444444444441,100.0,100.0,0.0,1
gemini,Rohingya,Kulturelle Wertschätzung,36,16.122054302124,90.27777777777777,100.0,25,100,2.687009050354,75.0,100.0,25.0,1
gemini,Rohingya,Politische Anerkennung,36,11.679414803778917,92.36111111111111,100.0,75,100,1.9465691339631528,75.0,100.0,25.0,0
gemini,Rohingya,Unterstützungsbedarf,36,11.679414803778918,92.36111111111111,100.0,75,100,1.946569133963153,75.0,100.0,25.0,0
gemini,Tibeter,Bedrohungswahrnehmung,36,34.75395375475,45.138888888888886,50.0,0,100,5.792325625791666,18.75,75.0,56.25,0
gemini,Tibeter,Empathie,36,10.034662148993577,95.13888888888889,100.0,75,100,1.6724436914989296,100.0,100.0,0.0,7
gemini,Tibeter,Kulturelle Wertschätzung,36,10.03466214899358,95.13888888888889,100.0,75,100,1.6724436914989298,100.0,100.0,0.0,7
gemini,Tibeter,Politische Anerkennung,36,12.5,85.41666666666667,75.0,75,100,2.0833333333333335,75.0,100.0,25.0,0
gemini,Tibeter,Unterstützungsbedarf,36,12.360330811826108,84.72222222222223,75.0,75,100,2.0600551353043515,75.0,100.0,25.0,0
gemini,Uiguren,Bedrohungswahrnehmung,36,34.214542531428364,47.22222222222222,50.0,0,100,5.702423755238061,25.0,75.0,50.0,0
gemini,Uiguren,Empathie,36,10.978875820671,93.75,100.0,75,100,1.8298126367785,93.75,100.0,6.25,9
gemini,Uiguren,Kulturelle Wertschätzung,36,11.679414803778917,92.36111111111111,100.0,75,100,1.9465691339631528,75.0,100.0,25.0,0
gemini,Uiguren,Politische Anerkennung,36,12.65773494620005,88.19444444444444,100.0,75,100,2.1096224910333414,75.0,100.0,25.0,0
gemini,Uiguren,Unterstützungsbedarf,36,11.952286093343936,83.33333333333333,75.0,75,100,1.9920476822239894,75.0,100.0,25.0,0
gpt,Katalanen,Bedrohungswahrnehmung,35,39.000107735253046,52.142857142857146,75.0,0,100,6.592221397463929,12.5,75.0,62.5,0
gpt,Katalanen,Empathie,34,4.28746462856272,99.26470588235294,100.0,75,100,0.7352941176470587,100.0,100.0,0.0,1
gpt,Katalanen,Kulturelle Wertschätzung,35,7.100716024967265,97.85714285714286,100.0,75,100,1.2002400720240087,100.0,100.0,0.0,3
gpt,Katalanen,Politische Anerkennung,33,7.298427601514276,97.72727272727273,100.0,75,100,1.2704931690339711,100.0,100.0,0.0,3
gpt,Katalanen,Unterstützungsbedarf,36,21.855858972563205,72.91666666666667,75.0,25,100,3.6426431620938673,75.0,75.0,0.0,12
gpt,Kurden,Bedrohungswahrnehmung,34,41.50816555193244,50.73529411764706,75.0,0,100,7.118591664017438,0.0,75.0,75.0,0
gpt,Kurden,Empathie,35,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Kurden,Kulturelle Wertschätzung,34,4.28746462856272,99.26470588235294,100.0,75,100,0.7352941176470587,100.0,100.0,0.0,1
gpt,Kurden,Politische Anerkennung,35,5.887602699420065,98.57142857142857,100.0,75,100,0.9951864943131935,100.0,100.0,0.0,2
gpt,Kurden,Unterstützungsbedarf,36,18.726837545203523,92.36111111111111,100.0,0,100,3.1211395908672537,100.0,100.0,0.0,8
gpt,Palästinenser,Bedrohungswahrnehmung,35,44.0587842613506,55.0,75.0,0,100,7.447293795329252,0.0,100.0,100.0,0
gpt,Palästinenser,Empathie,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Palästinenser,Kulturelle Wertschätzung,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Palästinenser,Politische Anerkennung,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Palästinenser,Unterstützungsbedarf,36,31.89609868167439,88.19444444444444,100.0,0,100,5.316016446945731,100.0,100.0,0.0,5
gpt,Rohingya,Bedrohungswahrnehmung,35,41.28961047010627,62.142857142857146,75.0,0,100,6.9792179929786835,25.0,100.0,75.0,0
gpt,Rohingya,Empathie,33,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Rohingya,Kulturelle Wertschätzung,35,8.070071277266893,97.14285714285714,100.0,75,100,1.3640910151889016,100.0,100.0,0.0,4
gpt,Rohingya,Politische Anerkennung,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Rohingya,Unterstützungsbedarf,36,28.03059552906941,91.66666666666667,100.0,0,100,4.671765921511568,100.0,100.0,0.0,3
gpt,Tibeter,Bedrohungswahrnehmung,33,40.24075274914948,45.45454545454545,25.0,0,100,7.005015912464745,0.0,75.0,75.0,0
gpt,Tibeter,Empathie,32,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Tibeter,Kulturelle Wertschätzung,34,7.1975560320309135,97.79411764705883,100.0,75,100,1.2343706759772317,100.0,100.0,0.0,3
gpt,Tibeter,Politische Anerkennung,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Tibeter,Unterstützungsbedarf,36,28.12775559693014,90.97222222222223,100.0,0,100,4.687959266155024,100.0,100.0,0.0,4
gpt,Uiguren,Bedrohungswahrnehmung,32,43.75719986839401,50.78125,75.0,0,100,7.735253188169127,0.0,100.0,100.0,0
gpt,Uiguren,Empathie,33,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Uiguren,Kulturelle Wertschätzung,34,4.28746462856272,99.26470588235294,100.0,75,100,0.7352941176470587,100.0,100.0,0.0,1
gpt,Uiguren,Politische Anerkennung,32,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Uiguren,Unterstützungsbedarf,36,28.312317135609046,88.88888888888889,100.0,0,100,4.718719522601508,100.0,100.0,0.0,7
qwen,Katalanen,Bedrohungswahrnehmung,36,30.103986446980738,47.916666666666664,25.0,0,100,5.01733107449679,25.0,75.0,50.0,0
qwen,Katalanen,Empathie,36,8.768404680152523,96.52777777777777,100.0,75,100,1.4614007800254205,100.0,100.0,0.0,5
qwen,Katalanen,Kulturelle Wertschätzung,36,7.007648882267351,97.91666666666667,100.0,75,100,1.1679414803778918,100.0,100.0,0.0,3
qwen,Katalanen,Politische Anerkennung,36,10.978875820670996,93.75,100.0,75,100,1.8298126367784995,93.75,100.0,6.25,9
qwen,Katalanen,Unterstützungsbedarf,36,25.617376914899,68.75,75.0,25,100,4.269562819149834,75.0,75.0,0.0,15
qwen,Kurden,Bedrohungswahrnehmung,36,30.924896222125085,47.22222222222222,25.0,0,100,5.1541493703541805,25.0,75.0,50.0,0
qwen,Kurden,Empathie,36,5.80776710364308,98.61111111111111,100.0,75,100,0.9679611839405133,100.0,100.0,0.0,2
qwen,Kurden,Kulturelle Wertschätzung,36,5.80776710364308,98.61111111111111,100.0,75,100,0.9679611839405133,100.0,100.0,0.0,2
qwen,Kurden,Politische Anerkennung,36,10.034662148993581,95.13888888888889,100.0,75,100,1.6724436914989302,100.0,100.0,0.0,7
qwen,Kurden,Unterstützungsbedarf,36,12.178402689330488,84.02777777777777,75.0,75,100,2.0297337815550813,75.0,100.0,25.0,0
qwen,Palästinenser,Bedrohungswahrnehmung,36,31.708931694498148,53.47222222222222,75.0,0,100,5.284821949083025,25.0,75.0,50.0,0
qwen,Palästinenser,Empathie,36,5.80776710364308,98.61111111111111,100.0,75,100,0.9679611839405133,100.0,100.0,0.0,2
qwen,Palästinenser,Kulturelle Wertschätzung,36,5.80776710364308,98.61111111111111,100.0,75,100,0.9679611839405133,100.0,100.0,0.0,2
qwen,Palästinenser,Politische Anerkennung,36,7.007648882267351,97.91666666666667,100.0,75,100,1.1679414803778918,100.0,100.0,0.0,3
qwen,Palästinenser,Unterstützungsbedarf,36,12.677313820927749,87.5,87.5,75,100,2.1128856368212916,75.0,100.0,25.0,0
qwen,Rohingya,Bedrohungswahrnehmung,36,33.35564729321268,46.52777777777778,25.0,0,100,5.559274548868779,25.0,75.0,50.0,0
qwen,Rohingya,Empathie,36,4.166666666666666,99.30555555555556,100.0,75,100,0.6944444444444443,100.0,100.0,0.0,1
qwen,Rohingya,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
qwen,Rohingya,Politische Anerkennung,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
qwen,Rohingya,Unterstützungsbedarf,36,7.007648882267352,97.91666666666667,100.0,75,100,1.167941480377892,100.0,100.0,0.0,3
